sol15417213.txt,http://support.f5.com/kb/en-us/solutions/public/k/15/sol15417213.html,Security Advisory,BIG-IP Analytics,"['12.1.1', ' 12.1.0', ' 12.0.0', ' 11.6.1', ' 11.6.0', ' 11.5.4', ' 11.5.3', ' 11.5.2', ' 11.5.1', ' 11.5.0', ' 11.4.1', ' 11.4.0', ' 11.2.1']"
sol15417213.txt,http://support.f5.com/kb/en-us/solutions/public/k/15/sol15417213.html,Security Advisory,BIG-IP WebAccelerator,"['11.2.1', ' 10.2.4', ' 10.2.3', ' 10.2.2', ' 10.2.1', ' 10.2.0', ' 10.1.0']"
sol17284.txt,http://support.f5.com/kb/en-us/solutions/public/17000/200/sol17284.html,Known Issue,BIG-IP LTM,['11.5.3']
solgl_integrating_gtm_with_older_bigips.txt,http://support.f5.com/kb/en-us/products/big-ip_gtm/manuals/product/gtm_lc_impl_guide_10_1/solgl_integrating_gtm_with_older_bigips.html,Manual,BIG-IP GTM,['10.1.0']
solgl_integrating_gtm_with_older_bigips.txt,http://support.f5.com/kb/en-us/products/big-ip_gtm/manuals/product/gtm_lc_impl_guide_10_1/solgl_integrating_gtm_with_older_bigips.html,Manual,BIG-IP Link Controller,['10.1.0']
sol13630.txt,http://support.f5.com/kb/en-us/solutions/public/13000/600/sol13630.html,Known Issue,BIG-IP GTM,"['11.1.0', ' 11.0.0']"
sol13630.txt,http://support.f5.com/kb/en-us/solutions/public/13000/600/sol13630.html,Known Issue,BIG-IP PSM,"['11.1.0', ' 11.0.0']"
sol13630.txt,http://support.f5.com/kb/en-us/solutions/public/13000/600/sol13630.html,Known Issue,BIG-IP LTM,"['11.1.0', ' 11.0.0']"
sol13630.txt,http://support.f5.com/kb/en-us/solutions/public/13000/600/sol13630.html,Known Issue,BIG-IP WOM,"['11.1.0', ' 11.0.0']"
sol13630.txt,http://support.f5.com/kb/en-us/solutions/public/13000/600/sol13630.html,Known Issue,BIG-IP Analytics,"['11.1.0', ' 11.0.0']"
sol13630.txt,http://support.f5.com/kb/en-us/solutions/public/13000/600/sol13630.html,Known Issue,BIG-IP Link Controller,"['11.1.0', ' 11.0.0']"
sol13630.txt,http://support.f5.com/kb/en-us/solutions/public/13000/600/sol13630.html,Known Issue,BIG-IP APM,"['11.1.0', ' 11.0.0']"
sol13630.txt,http://support.f5.com/kb/en-us/solutions/public/13000/600/sol13630.html,Known Issue,BIG-IP Edge Gateway,"['11.1.0', ' 11.0.0']"
sol13630.txt,http://support.f5.com/kb/en-us/solutions/public/13000/600/sol13630.html,Known Issue,BIG-IP ASM,"['11.1.0', ' 11.0.0']"
sol13630.txt,http://support.f5.com/kb/en-us/solutions/public/13000/600/sol13630.html,Known Issue,BIG-IP WebAccelerator,"['11.1.0', ' 11.0.0']"
sol25086712.txt,http://support.f5.com/kb/en-us/solutions/public/k/25/sol25086712.html,Known Issue,BIG-IP ASM,"['12.0.0', ' 11.6.1', ' 11.6.0']"
sol14977.txt,http://support.f5.com/kb/en-us/solutions/public/14000/900/sol14977.html,How-To,BIG-IP Link Controller,"['12.0.0', ' 11.6.0', ' 11.5.4', ' 11.5.3', ' 11.5.2', ' 11.5.1', ' 11.5.0', ' 11.4.1', ' 11.4.0', ' 11.3.0', ' 11.2.1', ' 11.2.0', ' 11.1.0', ' 11.0.0']"
sol16947.txt,http://support.f5.com/kb/en-us/solutions/public/16000/900/sol16947.html,Best Practice,BIG-IP PSM,"['11.4.1', ' 11.4.0', ' 11.3.0', ' 11.2.1', ' 11.2.0', ' 11.1.0', ' 11.0.0']"
sol16947.txt,http://support.f5.com/kb/en-us/solutions/public/16000/900/sol16947.html,Best Practice,BIG-IP LTM,"['11.6.0', ' 11.5.3', ' 11.5.2', ' 11.5.1', ' 11.5.0', ' 11.4.1', ' 11.4.0', ' 11.3.0', ' 11.2.1', ' 11.2.0', ' 11.1.0', ' 11.0.0']"
sol16947.txt,http://support.f5.com/kb/en-us/solutions/public/16000/900/sol16947.html,Best Practice,BIG-IP AFM,"['11.6.0', ' 11.5.3', ' 11.5.2', ' 11.5.1', ' 11.5.0', ' 11.4.1', ' 11.4.0', ' 11.3.0']"
sol16947.txt,http://support.f5.com/kb/en-us/solutions/public/16000/900/sol16947.html,Best Practice,BIG-IP WOM,"['11.3.0', ' 11.2.1', ' 11.2.0', ' 11.1.0', ' 11.0.0']"
sol16947.txt,http://support.f5.com/kb/en-us/solutions/public/16000/900/sol16947.html,Best Practice,BIG-IP Link Controller,"['11.6.0', ' 11.5.3', ' 11.5.2', ' 11.5.1', ' 11.5.0', ' 11.4.1', ' 11.4.0', ' 11.3.0', ' 11.2.1', ' 11.2.0', ' 11.1.0', ' 11.0.0']"
sol16947.txt,http://support.f5.com/kb/en-us/solutions/public/16000/900/sol16947.html,Best Practice,BIG-IP APM,"['11.6.0', ' 11.5.3', ' 11.5.2', ' 11.5.1', ' 11.5.0', ' 11.4.1', ' 11.4.0', ' 11.3.0', ' 11.2.1', ' 11.2.0', ' 11.1.0', ' 11.0.0']"
sol16947.txt,http://support.f5.com/kb/en-us/solutions/public/16000/900/sol16947.html,Best Practice,BIG-IP PEM,"['11.6.0', ' 11.5.3', ' 11.5.2', ' 11.5.1', ' 11.5.0', ' 11.4.1', ' 11.4.0', ' 11.3.0']"
sol16947.txt,http://support.f5.com/kb/en-us/solutions/public/16000/900/sol16947.html,Best Practice,BIG-IP Edge Gateway,"['11.3.0', ' 11.2.1', ' 11.2.0', ' 11.1.0', ' 11.0.0']"
